YEAR,COMPANY,HYBRID,DWIGHT,GOODFIELD,URBANA,WOODSTOCK,MT_MORRIS,DEKALB,ERIE,FENTON,ROCK.FALLS,ST_PETER,BROWNSTOWN,BELLEVILLE,CARBONDALE,DIXON_SPRINGS_UPLAND,DIXON_SPRINGS_BOTTOMLAND,ELKVILLE,MONMOUTH,PERRY,NEW_BERLIN
1999,ADLER,4250,124,190,206,,,,,,,,,,,,,,,,
1999,ADLER,5250,,,,,,,,,,,132,,111,110,193,,,,
1999,ADLER,4200,,,,,,,,,,,,,,,,,204,73,153
1999,AGRIGOLD,A 6390,,,,155,,201,,,217,,,,,,,,,,
1999,AGRIGOLD,A 6459 BT,,,,146,,201,,,183,,,,,,,,,,
1999,AGRIGOLD,A 6469 BT,,,,159,,187,,,207,,,,,,,,,,
1999,AGRIGOLD,A 6569 BT,,,,,,,,,,,79,,95,111,224,,,,
1999,AGRIGOLD,A 6725,,,,,,,,,,,139,,104,114,218,,,,
1999,AGRIGOLD,XA 3809,,,,,,,,,,,130,,98,125,196,,,,
1999,AGRIPRO,AP 9559 BT,133,204,216,,,,,,,,,,,,,,207,215,150
1999,AGRIPRO,AP 9565,159,203,229,,,,,,,,,,,,,,202,218,154
1999,AGRIPRO,AP 9355 BT,,,,127,,184,,,198,,,,,,,,,,
1999,AGRIPRO,AP 9466,,,,162,,215,,,201,,,,,,,,,,
1999,AGRIPRO,AP 9689 BT,,,,,,,,,,,129,,111,130,211,,,,
1999,AGRIPRO,AP 9696,,,,,,,,,,,123,,109,131,199,,,,
1999,AGVENTURE,AV 825,143,189,233,,,,,,,,,,,,,,,,
1999,AGVENTURE,AV 864,,,,,,,,,,,130,,108,143,191,,,,
1999,BECK'S,5305,150,197,208,,,,,,,,,,,,,,,,
1999,BECK'S,5349,134,205,219,,,,,,,,,,,,,,,,
1999,BECK'S,5360,151,173,207,,,,,,,,,,,,,,,,
1999,BECK'S,5405,144,195,205,,,,,,,,,,,,,,,,
1999,BECK'S,X 5505 BT,145,199,234,,,,,,,,,,,,,,,,
1999,BECK'S,5283 BT,,,,170,,220,,,196,,,,,,,,,,
1999,BECK'S,6205,,,,,,,,,,,118,,99,119,212,,,,
